"Price","Sq.feet","Title","Address","Date.Posted","Building.Type","Bedrooms","Bathrooms","Utilities","Wi.Fi.and.More","Parking.Included","Agreement.Type","Move.In.Date","Pet.Friendly","Furnished","Air.Conditioning","Personal.Outdoor.Space","Smoking.Permitted","Appliances","Amenities","Description","Visit.Counter","url"
2200,694,"555 Russell Hill Rd.  - 1 Bedroom Apartment for Rent","555 Russell Hill Rd., Toronto, ON, M5P 2T2","2024-03-07 13:36:01","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No",NA,NA,"Building Features",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/555-russell-hill-rd-1-bedroom-apartment-for-rent/1687528562"
1450,700,"1 bed 1 bath apartment in a house for rent","Scarborough, ON M1V 1R7","2024-03-14 01:23:20","House","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","0","1 Year","May 1, 2024","No","Yes","Yes","Not Included","No","Laundry (In Building)",NA,"1 bedroom, 1 living room, 1 bathroom, 1 kitchen apartment in lower level of a detached house for rent, with separate entrance, in a high demand area. The bathroom is newly renovated, very enjoyable and comfortable place with lots of privacy.","72 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-apartment-in-a-house-for-rent/1688163028"
1949,375,"123 Bellamy Road North - Bellamy Heights Apartment for Rent","123 Bellamy Road North, Toronto, ON, M1J 2K9","2024-02-24 23:54:00","Apartment","Bachelor/Studio","1",NA,"Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Fridge / Freezer","Elevator in Building","Located near schools, community centers, restaurants, parks, shopping, and transit, Bellamy Heights is the perfect setting for your next apartment home in Scarborough.Found at 123 Bellamy Road in the Eglinton East neighborhood, Bellamy Heights offers spacious Bachelor, 1-bedroom, 2-bedroom, and 3-bedroom suites. The high-rise apartments are pet-friendly and include laundry facilities on-site. Ample parking is available for Residents and visitors, while the Eglinton GO train station is just steps away with access to downtown Toronto in under 30 minutes. Easy access to Kennedy subway station. Bellamy Heights is close to McCowan District Park, Scarborough Village Recreation Centre, and an abundance of shopping centers. Join the welcoming community at Bellamy Heights and enjoy the seamless services offered by Hazelview Properties.  nullBuilding OverivewLocated near schools, community centers, restaurants, parks, shopping, and transit, Bellamy Heights is the perfect setting for your next apartment home in Scarborough.Found at 123 Bellamy Road in the Eglinton East neighborhood, Bellamy Heights offers spacious Bachelor, 1-bedroom, 2-bedroom, and 3-bedroom suites. The high-rise apartments are pet-friendly and include laundry facilities on-site. Ample parking is available for Residents and visitors, while the Eglinton GO train station is just steps away with access to downtown Toronto in under 30 minutes. Easy access to Kennedy subway station. Bellamy Heights is close to McCowan District Park, Scarborough Village Recreation Centre, and an abundance of shopping centers. Join the welcoming community at Bellamy Heights and enjoy the seamless services offered by Hazelview Properties.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/123-bellamy-road-north-bellamy-heights-apartment-for-rent/1686337399"
2485,680,"Brand new 2 brm Apt with Balcony-Cosburn and Donland Ave","Cosburn Avenue, East York, ON","2024-03-14 06:28:46","Apartment","2","1","Hydro_Yes,Heat_Yes,Water_Yes","Not Included","0","1 Year","April 1, 2024","Limited","No","No","Balcony","Outdoors only","Laundry (In Building), Fridge / Freezer","Bicycle Parking, Elevator in Building","Available April 1- Fully renovated 2 brm Apt with a balcony .. This elegantly newly professionally renovated apartment is completely refurnished with marble tiles, laminated flooring, new kitchen and bathroom. This beautifully renovated apartment includes a new kitchen with new cabinets, countertop, and appliances, and marble tile; a new bathroom with all new fixtures and marble tiles throughout. This is a friendly family oriented building with bright new hallways, lobby and modernized elevator. It is in a clean and safe well-maintained apartment building. This low-rise classic brick-style building is located in the heart of the Pape/O'Conner area just minutes from the ""Danforth"", it offers a quiet, classic feel to big-city apartment living. Includes: Private balconies with some suites; New paint and hardwood floors refinished; Cable and internet ready; Outdoor parking; Ground floor laundry with new washers and dryers, security camera surveillances, TTC at door and just minutes away from the Danforth subway and the D.V.P, close to schools, shops and all amenities. Price includes Utilities, one year lease, first and month rent deposit and credit check required. Please come and see your new home phone or text Super at 647 922 5766 or come to 200 Cosburn ave during day time only","9 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-2-brm-apt-with-balcony-cosburn-and-donland-ave/1688175302"
2699,986,"831 Kennedy Road - 831 Kennedy Apartment for Rent","831 Kennedy Road, Toronto, ON, M1K 2E3","2024-02-29 14:54:00","Apartment","2","1",NA,"Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Fridge / Freezer","Elevator in Building","Situated in a family-oriented area of Scarborough, 831 Kennedy Helen Towers is a wonderful rental community located close to several schools, a childcare centre, a community centre, public library, and shopping. Your home backs onto Treverton Park – the perfect place to walk your dog or take the kids to the playground. There is a grocery store and a Shoppers Drug Mart just steps away on Eglinton Avenue East. The TTC stops outside your door and The Kennedy subway station, the Kennedy GO station, and Scarborough RT are a short walk away – making all parts of Toronto and the GTA easily accessible. All the shopping and entertainment options of Eglinton Town Centre and Eglinton Square are minutes away as well. Centennial College Ashtonbee Campus, Ashtonbee Reservoir Park, Wexford Park and nature trails are all close by.Your bright and spacious, pet-friendly rental apartment features gleaming parquet floors and a private balcony. Enjoy the convenience of on-site laundry facilities, plenty of visitor parking, and parking available for you. Experience the peace of mind that comes with monitored security cameras and a friendly on-site management team – there to handle any maintenance issues that may arise. Helen Towers is a Certified Rental Building.If you're looking for a comfortable, convenient, and family-friendly place to call home, you can stop searching. Helen Towers (831  Kennedy Road) is ready to welcome you. Incentive: - FMR- First Month Rent for Free nullBuilding OverivewSituated in a family-oriented area of Scarborough, 831 Kennedy Helen Towers is a wonderful rental community located close to several schools, a childcare centre, a community centre, public library, and shopping. Your home backs onto Treverton Park – the perfect place to walk your dog or take the kids to the playground. There is a grocery store and a Shoppers Drug Mart just steps away on Eglinton Avenue East. The TTC stops outside your door and The Kennedy subway station, the Kennedy GO station, and Scarborough RT are a short walk away – making all parts of Toronto and the GTA easily accessible. All the shopping and entertainment options of Eglinton Town Centre and Eglinton Square are minutes away as well. Centennial College Ashtonbee Campus, Ashtonbee Reservoir Park, Wexford Park and nature trails are all close by.Your bright and spacious, pet-friendly rental apartment features gleaming parquet floors and a private balcony. Enjoy the convenience of on-site laundry facilities, plenty of visitor parking, and parking available for you. Experience the peace of mind that comes with monitored security cameras and a friendly on-site management team – there to handle any maintenance issues that may arise. Helen Towers is a Certified Rental Building.If you're looking for a comfortable, convenient, and family-friendly place to call home, you can stop searching. Helen Towers (831  Kennedy Road) is ready to welcome you.Current PromotionsHurry! 1 Month Free - For a limited time only | Call Today!For a limited time, you can receive ONE MONTH FREE on a 12-month lease. *Receive your first month free on select suites for a limited time only. Contact the leasing team for details. Valid on new move-ins. Pricing, Incentives, and availability are subject to change or end without notice. Terms & Conditions apply. All pictures shown may not be representative of all suites available. E.&O.E. Call our dedicated team today to apply!",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/831-kennedy-road-831-kennedy-apartment-for-rent/1686827384"
2600,630,"1 Bedroom + Den - Yonge and Finch, All Inclusive","North York, ON M2N 0A2",NA,"Condo","1 + Den","1","Hydro_Yes,Heat_Yes,Water_Yes","Not Included","1","1 Year","March 1, 2024","No","No","Yes","Balcony","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Bright & spacious one plus den condo apartment in luxury high-rise building with stunning unobstructed views!",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-den-yonge-and-finch-all-inclusive/1679707116"
2929,875,"2 Bedroom Apartment – Spacious & Newly Renovated –Inquire today!","1577 Lawrence Ave W, Toronto, ON, M6L 1C4","2024-03-02 00:11:02","Apartment","2","1","Hydro_No,Heat_No,Water_Yes","Not Included","0","1 Year",NA,"Limited","No","No","Balcony","Yes","Laundry (In Building), Fridge / Freezer","24 Hour Security, Elevator in Building","Hurry! 1 Month Free - For a limited time only | Call Today!",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-spacious-newly-renovated-inquire-today/1668148182"
2850,885,"Newly Built 2Bedroom Stack Town at high demand Bayview and Finch","Finch Avenue East, North York, ON","2024-03-13 13:03:59","Townhouse","2 + Den","2",NA,"Not Included","1","1 Year","May 1, 2024","Limited","No","Yes","Not Included","No","Laundry (In Unit), Dishwasher, Fridge / Freezer",NA,"Moving in by May 1! This stunning two-bedroom, two-bathroom townhouse apartment offers unparalleled privacy as the end unit. Spanning two stories, it boasts soaring 9-foot ceilings throughout and expansive windows in each bedroom, flooding the space with natural light. The basement features two ensuite bedrooms, while the main floor includes a versatile den that can serve as a dining room or third bedroom, alongside a modern kitchen and inviting living room.
The kitchen showcases upgraded designer Italian-manufactured cabinetry, while the bathrooms feature contemporary Italian-manufactured vanities with premium porcelain slab countertops, upgraded shower ceilings, and sleek frameless doors. Both bedrooms offer ensuite bathrooms and walk-in closets, ensuring comfort and convenience.
Included with the apartment is underground parking. Situated in the vibrant Willowdale East neighborhood, residents enjoy proximity to cultural amenities such as the Toronto Centre for the Performing Arts, Mel Lastman Square, the Douglas Snow Aquatic Centre, movie theaters, the North York Public Library, and two subway stations.
Includes: Stainless Steel Fridge, Stove, B/I Dishwasher, Built-In Microwave, Washer, Dryer. All Elf's, Window Coverings. Tenants agree to the report to the Landlord Credit Bureau and for landlord to verify the credit and background information. Tenants are responsible for all utilities. Required: The Rental App, Full Credit Report, References, Letter of Employment, Pay stubs, 1st And Last, key deposit. Certified Deposit + Post Dated Cheques, No Smokers and pets. Aaa Tenants Only!","18 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-built-2bedroom-stack-town-at-high-demand-bayview-and-finch/1688091100"
1600,450,"One Bedroom Apartment - For Rent - Bathurst/Lawrence","Toronto, ON M5M","2024-03-04 22:43:09","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","1","1 Year","March 18, 2024","Limited","No","No","Not Included","Outdoors only","Laundry (In Building), Fridge / Freezer",NA,"To view please call 647-999-3961. This is a spacious, bright clean apartment. Near major transportation intersections to go down town, or get to the highway. Walking distance, (less than 5 min.) to grocery store, pharmacy, plaza with many other retail shops.","120 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-apartment-for-rent-bathurst-lawrence/1687293956"
2200,700,"1 Bed 1 Bath Apartment near Yonge and Sheppard","Forest Laneway, Toronto, ON M2N 5X7","2024-03-14 03:39:41","Apartment","1","1","Hydro_No,Heat_Yes,Water_No","Not Included","1","1 Year","April 15, 2024","Yes","No","Yes","Balcony","No","Laundry (In Building)","24 Hour Security, Elevator in Building","1 Bed 1 Bath available in an extremely convinient location.
Available from 15th April.
Utilities extra.
Parking available at extra cost.
Short-term or long-term is fine.
Features:
- Prime location. Few steps to Yonge Sheppard Subway Station
- Few steps to Yonge Sheppard Centre Mall which has Longos, Dollarama, Food Court and Shopping
- Few steps to Service Canada and Service Ontario
- No need to step out during winter as the apartment is connected to a passage that leads to Yonge Sheppard Centre and Subway Station.","17 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-apartment-near-yonge-and-sheppard/1688171458"
3000,850,"2 Bedroom Apartment - College Street","966 College St, Toronto, ON M6H 1A5","2024-02-27 22:45:06","Apartment","2","1",NA,"Not Included","2","1 Year","March 15, 2024","Limited","No","Yes","Not Included","Outdoors only",NA,NA,"Fully renovated 2 bedroom apartment, located above a store on College street. New kitchen, bathroom, hardwood floors, windows. Bright, spacious, clean and new space. Rear rooftop deck, laundry on site, and parking available. Utilities extra.","104 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartment-college-street/1686659505"
1595,575,"Newly Renovated 1 Bedroom Available","79 Shelborne Ave, North York, ON M5N 1Z2","2024-03-03 22:48:46","Basement","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Not Included","1","1 Year","March 1, 2024","No","No","Yes","Not Included","No",NA,NA,"Experience contemporary living in our newly renovated 1-bedroom basement apartment! This stylish residence comes with the convenience of included hydro, parking, heat, and air conditioning. Plus, it's a pet-free sanctuary for a peaceful ambiance. Seize the opportunity for refined living – inquire today!
This is a non smoking residence.","215 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-renovated-1-bedroom-available/1687198516"
3600,691,"2 Bedroom 2 Bathroom for Rent - King St West, Downtown Toronto","Toronto, ON M5V 1H2",NA,"Condo","2","2","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year","February 1, 2024","No","No","Yes","Not Included","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","Beautiful Condo 2 Bedroom with 2 Bathroom for Rent in the heart of the Entertainment District (King St/John St). Walking distance to many restaurants, Tiff Lightbox, Royal Alexander and Princess of Wales theatres, Rogers Centre, the Well and many more amenities.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-2-bathroom-for-rent-king-st-west-downtown-toronto/1683003984"
2200,618,"550 Jarvis St - One Bedroom Apartment Apartment for Rent","550 Jarvis Street, Toronto, ON, M4Y 2H9","2024-03-02 00:11:03","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year",NA,"Yes","No","No","Balcony","No","Fridge / Freezer","Elevator in Building","550 Jarvis offer residents an incredible walk score of 95, transit score of 90, and bike score of 97 means you can walk, take the TTC, or bike just about anywhere. Living in the heart of downtown Toronto means shopping, transportation, and restaurants are right at your doorstep. The building is a 10 minutes bike ride from the lively Yonge-Dundas Square and Toronto Eaton Centre.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/550-jarvis-st-one-bedroom-apartment-apartment-for-rent/1665380201"
1805,390,"Bachelor Apartment for Rent - 140 Erskine Avenue","140 Erskine Avenue, Toronto, ON, M4P 1Z2","2024-03-14 14:07:02","Apartment","Bachelor/Studio","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year",NA,"Limited","No","No","Balcony","No","Laundry (In Building), Fridge / Freezer","Gym, Pool, Elevator in Building","Free Month of Rent!",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-for-rent-140-erskine-avenue/1682150597"
1550,450,"1 bed, 1 bath basement apartment in the heart of Riverdale","Toronto, ON M4M 2E3",NA,"Basement","1","1",NA,"Not Included","0","Month-to-month","April 1, 2024","No","No","Yes","Not Included","Outdoors only","Fridge / Freezer",NA,"Renovated open concept 1 bedroom, 1 bathroom basement apartment with private enterance for rent right next to Broadview and Gerrard. Located on Hamilton St in the heart of beautiful Riverdale which is a quickly developing central Toronto neighbourhood. Ample transit options converge at Broadview and Gerrard taking you to any part of the city you desire. Catch the 504 to King, the 505 to Dundas, the 506 to College or a number of vehicles heading in the opposite direction on a short ride up to Broadview Station so you can ride the Blood subway line. Street parking often available with permit.
You’ll be close to bustling Queen st East which is filled with a variety of restaurants and shops to explore. We’re just a short south eastern walk away from stylish Leslieville and a short north western walk away from beautiful Cabbagetown. Both are well regarded downtown Toronto neighbourhoods filled with culture to investigate and shop in. You’ll be right next to Little Chinatown which is quickly developing with good places to eat and a funky bar option for a pint.
The Danforth is a pleasant walk northward walk along Riverdale Park’s exceptional valley view. Riverdale Park is one of the most amazing parks in the city offering various spots to sit and play or exercise as well as the best view of the sunset you can find downtown viewed from the eastern hill. Pull up a blanket or find a bench around dusk to take in the city skyline illuminated by all the colours of the setting sun. Around the eastern hills there are great spots to setup for a summer park session and soak up the warmth surrounded by lots of green. Riverdale Farm is a great place to visit in the western potion of Riverdale Park. Spend some pleasant time with the animals or take kids out for an afternoon there.
Move in April 1st or get first months rent prorated if moving in partway through March.
First and last month rent to be paid before move in date.
Background check by SungleKey required.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-basement-apartment-in-the-heart-of-riverdale/1684247735"
705,900,"Space for 1 girl in a 2 Bedroom 1 Bathroom apartment","335 Van Horne Avenue, North York, ON","2024-02-17 17:56:19","Apartment","2","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","Month-to-month","February 18, 2024","No","Yes","No","Balcony","No","Laundry (In Building), Fridge / Freezer","Pool, 24 Hour Security, Storage Space, Elevator in Building","Looking for a pure vegetarian female roommate.
We are 3 people already living in a spacious 850-900 sq ft apartment. We are all friendly and fun loving. Expecting our roommate to be especially very neat and clean, non smoker and non alcoholic. To be more on peaceful side.","363 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/space-for-1-girl-in-a-2-bedroom-1-bathroom-apartment/1685601037"
1750,550,"One bedroom basement apartment Jarvis and Gerrard","Toronto, ON M5A 2N3","2024-03-07 18:04:54","Apartment","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Not Included","0","1 Year","April 1, 2024","Yes","No","No","Not Included","Outdoors only","Laundry (In Building), Fridge / Freezer","Bicycle Parking","$1750 per month!!! all utilities included!!! Rent with confidence with us! Charming one bedroom basement apartment, freshly painted in a small and quiet building. Available April 1st.","138 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-basement-apartment-jarvis-and-gerrard/1687559006"
2090,325,"Wellesley Apartments - Bachelor available at 100 Wellesley Stree","100 Wellesley Street East, Toronto, ON, M4Y 1H5","2024-03-14 14:09:43","Apartment","Bachelor/Studio","1","Hydro_No,Heat_No,Water_Yes","Not Included","0","1 Year",NA,"Yes","Yes","Yes","Balcony","No","Laundry (In Building)","Gym, Pool, Elevator in Building","No Last Month's Rent Deposit",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-bachelor-available-at-100-wellesley-stree/1670341721"
2099,606,"For rent 1 bedroom 1 bathroom","York, ON M5P 3K8",NA,"Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","Month-to-month","March 1, 2024","Yes","No","No","Not Included","Outdoors only","Laundry (In Building), Dishwasher, Fridge / Freezer",NA,"For rent (sublet) beautiful and confortable apartment In a nice building half a block from the bus stop, cozy neighborhood with schools nearby, 1bedroom, 1 bath and the living room is very spacious can be decorated as studio and include an additional bed. Pet friendly","153 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/for-rent-1-bedroom-1-bathroom/1684850425"
2450,500,"Olive Rental Yonge Finch One 1 Bedroom Condo Apartment for Rent","North York, ON M2N 7G6","2024-03-05 14:18:50","Condo","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Not Included","1","1 Year","December 1, 2023","No","No","Yes","Balcony","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, 24 Hour Security, Elevator in Building","Olive Avenue Rental Yonge and Finch Area One 1 Bedroom Condo Apartment for Rent with Parking. Utilities Included. Move In December Dec 1st 15th 31st January Jan 1 15 31. 1 BHK Laundry In Unit. Bathroom Washroom Kitchen Living Dining Room.","139 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/olive-rental-yonge-finch-one-1-bedroom-condo-apartment-for-rent/1678760069"
2600,800,"51 Dewson St. - Main Floor - 1BD all INCL.","51 Dewson Street, Toronto, ON","2024-02-27 18:33:12","Apartment","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Not Included","0","1 Year","April 1, 2024","Limited","No","Yes","Balcony","Outdoors only","Laundry (In Building)","Bicycle Parking","1 BEDROOM MAIN FLOOR APARTMENT","134 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/51-dewson-st-main-floor-1bd-all-incl/1686633640"
1600,600,"Amazing Opportunity One Bedroom Lower Level In Little Italy","376 Shaw Street, Toronto, ON",NA,"Basement","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","0","1 Year","April 1, 2024","Limited","No","Yes","Not Included","No","Laundry (In Unit), Dishwasher, Fridge / Freezer",NA,"Amazing bright and spacious one bedroom basement apartment in the Heart of Little Italy. Minutes to transit, Metro, Shoppers Drug Mart and everything College street has to offer. Parks in every direction. Minutes to Trinity Bellwoods. Includes heat, hydro, water and Laundry. Great opportunity. Please provide Letter of Employment, Credit Score and Summary. Available April 1st. A+ tenant!! Call me directly to see property. 647-228-2217","681 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/amazing-opportunity-one-bedroom-lower-level-in-little-italy/1684530998"
2100,700,"Two bedroom @Broadview and Danforth","Broadview Ave, Toronto, ON, M4K 2P9",NA,"Apartment","2","1",NA,"Not Included","0","1 Year","April 1, 2024","Limited","No","No","Not Included","Outdoors only",NA,NA,"Two Bedroom apartment rental is available on Broadview Avenue just north of Danforth. It’s located in the heart of The Danforth and ""Greektown"". A short two minute walk from the Broadview/Danforth subway station, restaurants, shops and cafes, this is a walkers paradise.
Apartment is being renovated with careful attention to quality and detail.
Community
Located just steps from the subway Bloor Danforth Subway line, many options are easily accessible, and all conveniences are at your doorstep. The trails in the Don Valley are moments away and take a direct bus for less than 5 minutes to access the market","541 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/two-bedroom-broadview-and-danforth/1684525128"
2210,706,"Lawrence East Apartments - 1 Bdrm available at 4000 Lawrence Ave","4000 Lawrence Avenue East, Scarborough, ON, M1E 2R3","2024-02-24 00:51:09","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Fridge / Freezer","Elevator in Building","Visit our Website: https://www.capreit.ca/apartments-for-rent/scarborough-on/lawrence-east-apartments/",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/lawrence-east-apartments-1-bdrm-available-at-4000-lawrence-ave/1683391047"
1000,1,"Rental -immediately","Scarborough, ON M1H",NA,"Apartment","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","0","Month-to-month","February 3, 2024","No","Yes","Yes","Not Included","No","Laundry (In Unit), Fridge / Freezer","Gym, Pool, 24 Hour Security, Elevator in Building","One bedroom available at 3bedroom apartment at the earliest possible.
Very close to Scarborough Town Centre
Send your contact number with request.","863 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/rental-immediately/1683876744"
2250,958,"Montgomery Mills - 24 Mabelle Ave. - 2 Bedroom Apartment for Ren","24 Mabelle Avenue, Etobicoke, ON, M9A 4X8","2024-02-28 14:48:06","Apartment","2","1.5","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","May 1, 2024","No","No","Yes","Balcony","No","Laundry (In Building), Fridge / Freezer","Gym, Pool, 24 Hour Security, Elevator in Building","Tonnes of Closet Space!",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/montgomery-mills-24-mabelle-ave-2-bedroom-apartment-for-ren/1686716951"
2000,400,"Uptown Cozy studio apartment, fully renovated","Toronto, ON M4P 1Z2",NA,"Apartment","Bachelor/Studio","1","Hydro_Yes,Heat_Yes,Water_Yes","Cable / TVInternet","0","Month-to-month","February 6, 2024","No","Yes","Yes","Balcony","Outdoors only","Laundry (In Building), Fridge / Freezer","Gym, Pool, Bicycle Parking, Elevator in Building","This is a lovely apartment that is perfect for couples with one child or a single person. Its location is convenient, making it easy to plan your visit, and it's also a quiet place to stay. The subway and Yonge Street are just 7 minutes away, and the building offers a pool, gym, and sauna available for your use. The apartment has been fully renovated, with new couches, tables, etc. It has everything a family needs. The sunny south side boasts a large balcony that adds to the apartment's appeal. The kitchen has every appliance, including an oven, stove, toaster, boiler, and coffee maker. You can enjoy the freedom of preparing your meals in your new home.","125 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/uptown-cozy-studio-apartment-fully-renovated/1682725213"
2975,994,"Beautiful NEWl 2 Bedroom + Den in a NEW building!","55 Warrender Avenue, Toronto, ON, M9B 5Z2","2024-03-12 19:54:01","Apartment","2 + Den","2",NA,"Not Included","1","Not Available","March 5, 2024","Yes","No","Yes","Balcony","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Bicycle Parking, Storage Space, Elevator in Building","Welcome to The Kipton, where exquisite design meets exceptional comfort, featuring all the amenities you desire.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-newl-2-bedroom-den-in-a-new-building/1688028685"
1400,600,"I need 1 bedroom 1 bathroom apartment","Scarborough, ON M1E","2024-02-23 16:51:10","Apartment","1","1",NA,"Not Included","1","Month-to-month","April 1, 2024","No","No","Yes","Not Included","Outdoors only",NA,NA,"I need 1 bedroom apartment for me and my partner. We both ar eworking professional.
Looking for a quiet and clean place to move in","177 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/i-need-1-bedroom-1-bathroom-apartment/1686186489"
1850,550,"1 Bedroom apartment near yonge and davisville","Toronto, ON M4S 1G9",NA,"Apartment","1","1",NA,"Cable / TV","0","Month-to-month","February 1, 2024","No","Yes","No","Balcony","No","Laundry (In Building)","Gym, Pool, Concierge, Bicycle Parking, Storage Space, Elevator in Building","1 Bed 1 Bath - Apartment available Immediately","224 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-near-yonge-and-davisville/1683021219"
2197,874,"1 Bedroom Apartment for Rent - 25 Cougar Court","25 Cougar Court, Toronto, ON, M1J 3E5","2024-03-14 14:42:44","Apartment","1","1","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year",NA,"No","No","No","Not Included","No","Laundry (In Building)",NA,"Utilities Included",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-25-cougar-court/1684189312"
2800,750,"Downtown Toronto Corner Unit 2Bed 1Bath w/Locker","159 Wellesley St E, Toronto, ON M4Y 0H5",NA,"Condo","2","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","February 29, 2024","No","No","Yes","Balcony","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","2 Bedroom, 1 Bathroom Apartment Located in 159 Wellesley St E in Downtown Toronto
***Corner Unit with Balcony, Northwest Facing with unobstructed City Views***
**Check in at the end of February for 1-Year Lease**High-end Apartment with 2 Bedrooms, both with doors and windows, Spacious and Bright.
Convenient for Transportation, 1.5KM to UofT(St. George Campus), 2Km to Ryerson University, Ted Rogers. 7mins Walking to Yonge/Wellesley & Bloor/Sherbourne Subway Station. 24-hour's Security, Complete Amenities, Gym, Yoga Room and Swimming Pool.
Rooms are NOT Furnished.
***Rent: $2800 including Water Locker, Super Value!***","192 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-toronto-corner-unit-2bed-1bath-w-locker/1684765539"
